sample	TCGA-FV-A495-01	TCGA-G3-A3CH-11	TCGA-CC-A3MB-01
5646	5.982	6.0954	1.5484
7957	7.0326	7.9458	6.0708
81689	9.4964	10.294	8.7283
7844	10.0659	11.0738	11.3906
122961	8.6304	7.9249	7.9303
55007	8.1034	6.3518	7.9326
389898	0	0	1.7268
79607	7.3366	6.9671	7.7225
4009	4.1956	2.8491	2.4905
219654	10.5787	10.2776	9.4339
4010	0.8379	0	0
NA	5.2482	4.9191	3.6496
346517	0	0	0
9360	8.9822	9.7864	10.3759
5965	7.375	8.2323	9.4386
10871	5.2482	5.6624	2.7602
58477	11.0156	10.7608	12.0189
25759	11.0151	11.2924	11.7805
79649	6.8077	6.7226	7.8555
440695	1.7494	0	0.8237
NA	12.2308	11.5982	11.3038
23387	9.6457	10.9498	10.2415
149233	0	0.9157	0.4699
55700	10.4772	9.0578	9.5174
NA	0	1.4714	3.6932
5459	0	0	1.8855
375616	2.053	2.6597	1.347
NA	9.3316	9.1928	9.0654
93973	8.2672	8.1487	7.5255
8938	9.5037	8.5111	5.9515
64431	7.8996	8.6939	8.5396
79913	8.2964	6.7466	7.5671
7384	13.5298	13.183	11.9817
10096	10.1563	11.026	11.4535
10097	10.5817	11.976	12.0169
344838	9.9129	8.5478	10.0989
93986	0	4.5338	2.278
NA	0	0.9157	0.4699
8320	2.7031	6.428	3.3008
7528	8.4858	10.3829	9.9686
25806	4.1322	0.9157	0.8237
5738	10.1413	8.7866	9.5948
9401	9.392	6.5559	10.0389
NA	0	0	0
3890	0	0	0
2687	12.2067	10.6433	7.9905
NA	5.0905	0	0.4699
2798	0	0.9157	0
256586	8.4984	8.7275	8.4296
NA	5.3068	4.3578	2.5861
5140	8.6644	10.7211	8.9567
153218	0	0	0.4699
4693	0	0	0
54768	3.5878	4.1574	0.4699
1268	5.9639	2.8491	0
2637	0	0	0
2636	0	0	0
1269	0.8379	3.3023	0
100033445	0	0	0
54552	7.8012	8.0936	8.3887
84271	10.2329	10.1359	11.5651
26073	12.9053	12.8719	12.5542
126295	6.7349	5.4738	5.9502
2811	4.2563	5.1802	3.5582
5921	6.5357	8.5021	8.7473
NA	10.8624	11.7249	10.4073
125488	12.7073	11.8638	10.8904
84624	8.4176	4.4775	5.1401
79712	7.2041	7.9766	8.8632
7270	7.521	7.0272	7.258
5832	10.3808	9.9032	9.7474
22821	7.3917	8.3659	8.5441
7286	7.4251	6.7347	9.26
1468	13.503	12.7039	12.2943
NA	11.2899	10.1669	9.9703
29851	4.575	5.2899	3.8165
3087	10.2148	10.0849	10.2751
88	3.5878	3.7454	1.1077
9135	9.2795	10.4146	9.6211
10076	8.027	8.7924	6.4721
6289	10.1067	10.2631	8.345
NA	0	0	0
11122	5.3352	2.1846	7.06
6288	11.1896	11.4733	10.7178
158586	7.9464	8.669	10.7776
56899	0	2.4416	6.6596
148304	6.1353	5.6874	6.4532
NA	11.1838	9.8348	10.8237
23294	8.1481	9.2486	8.8904
NA	5.2482	1.4714	0.8237
81696	0	0	0
5801	1.7494	2.6597	2.5861
NA	10.8739	10.5585	10.7132
122060	4.6219	6.8937	5.1243
NA	0.8379	0	0.8237
NA	5.8699	5.079	5.8284
139741	0	0	0.4699
140625	0	0	0
26277	9.9022	9.2632	9.3073
2797	1.3645	0.9157	0
579	0.8379	0	0.4699
4824	5.9998	7.2785	3.5103
2796	3.4901	3.7454	4.3936
266812	6.2885	7.1849	4.4708
114026	0	0	0
6136	13.6536	12.6245	12.4134
391104	0	0	0
146434	3.3853	4.7393	3.6932
NA	5.9582	5.9164	2.9155
161357	0.8379	0.9157	0
6699	1.3645	0	0.4699
4701	11.5565	10.0297	10.0262
102	7.2422	9.6593	9.9552
4185	4.1956	1.4714	1.3448
8038	5.5444	3.9245	4.1018
8751	12.3855	9.9375	12.0092
6868	4.8751	7.5482	7.8507
8749	0	0	0
8728	7.7807	7.4419	8.4166
100507444	1.3645	0.9157	1.1077
151525	6.8278	7.211	7.6189
151835	0	0	0.4699
144402	6.0349	8.558	9.3212
55253	8.6389	8.9377	9.3758
5792	12.7189	12.8523	13.0007
8895	9.3903	11.0149	11.0013
221184	9.0089	8.7953	8.8668
8904	11.1534	9.6194	11.216
57409	9.4114	8.26	8.2491
27132	4.4764	2.6597	1.5484
9362	1.3645	2.4416	0
57699	6.6805	4.9608	4.5441
131034	0	0	0.4699
7478	0	0	0
4982	5.6612	8.4813	5.6296
NA	8.6699	8.8682	10.0677
137868	0	0	0
NA	0	0	0
10249	11.7061	13.1668	8.2928
54802	7.9962	7.9406	7.5012
NA	8.9435	9.5042	10.2539
1789	4.1322	4.7393	6.182
93377	0	0	0
1788	8.8132	7.4345	8.8245
NA	9.4122	10.6297	10.4544
NA	4.5265	2.8491	4.6138
7675	4.4764	5.079	4.8439
8241	11.1457	10.0395	10.6644
22803	9.3334	10.3616	11.2725
29947	5.1234	7.4565	4.3398
10244	11.1234	9.9257	9.5287
NA	8.9083	6.8344	6.0946
729609	0	0	0
22848	8.9412	8.3345	9.198
6638	11.3037	11.0744	9.6328
51573	9.9547	10.2703	10.062
6628	12.9829	10.8597	12.7893
6631	11.9929	10.0861	11.2941
6626	11.0936	9.5897	10.1911
85358	9.5321	9.3263	10.675
81697	0	0	0
50944	2.8677	0	1.7268
6635	11.5561	8.9889	9.5731
80714	4.6219	2.8491	0
89953	11.589	11.8525	11.5207
442184	0	0	0
115196	7.3224	6.8937	6.6486
51086	0.8631	0	0.4897
57167	2.3036	2.1846	6.3344
5796	10.4028	10.8143	11.1013
3364	7.9962	9.2016	9.3299
388531	1.3645	0.9157	1.8855
153770	3.8466	0	1.3448
5795	9.8807	9.879	10.1696
7351	10.5118	10.7113	8.3226
23217	2.053	0.9157	0.4699
23236	7.1887	6.5559	10.1305
118442	2.3036	2.6597	1.1077
5794	9.3971	9.5813	9.7422
158866	2.7031	2.4416	1.5484
79683	10.4635	9.153	8.7606
56900	9.3049	10.0371	9.4906
255738	11.1949	9.1349	11.4837
79844	6.3314	5.6109	2.9873
5546	11.4901	9.9723	10.6079
54503	6.4003	5.4447	7.2213
84885	11.0035	9.7333	9.4499
5126	0	3.1665	1.1077
53632	0	0	0
5122	0	0	0.4699
5046	11.1517	13.2191	12.3424
9159	9.6629	9.3141	9.6563
54760	7.2571	6.8611	6.2995
5125	4.2563	5.0013	5.3989
285193	7.173	6.114	6.2638
28996	9.3818	10.8	10.926
204851	8.2928	10.0211	9.6799
NA	0	0	0.8237
147746	0.8379	2.4416	0.4699
6188	15.0215	13.3534	13.6265
63904	0	0	0
56940	9.5995	9.513	9.6792
54935	13.0395	9.9362	10.9579
23592	7.4643	8.6211	8.8715
221496	10.0218	9.2941	10.8042
78986	3.8466	1.4714	0.4699
NA	1.3645	0.9157	0
NA	12.3996	11.3415	11.3332
1463	2.3036	2.4416	1.1077
285955	2.3036	2.1846	2.3711
9120	1.3645	3.7454	2.0285
51087	3.8466	4.7393	6.6541
11341	3.7654	0	0
55105	6.756	6.9151	7.3664
NA	8.3356	8.2862	7.7251
51161	8.027	6.9151	6.242
8775	13.0245	12.5973	12.5039
219952	0	0	0
NA	4.754	4.4189	4.5441
NA	4.1322	4.7864	2.5861
NA	8.7112	8.9325	8.9822
NA	2.053	0	0.4699
NA	12.1771	11.197	10.5509
116039	2.7031	1.4714	0
23367	11.2445	11.5969	12.6971
113251	10.5456	11.8178	11.2266
55323	6.5773	6.7819	6.0117
51574	8.3356	9.7393	9.4883
NA	0	0	0
145501	0	0	0
140862	6.5411	6.2207	7.6607
9966	0	1.8717	2.3881
63906	9.6598	8.2488	8.4296
158160	6.1026	5.2899	6.9294
NA	0	0	0
26140	8.0721	6.9232	7.3053
7179	3.5878	0	0.5327
79818	6.6916	6.7819	6.5978
653162	5.8699	4.294	4.4198
55585	11.3383	10.4765	11.2183
54555	11.3108	9.7121	10.1935
1306	9.2293	4.1574	6.8498
NA	2.3036	1.4714	0
54959	0	0.9157	0
51428	11.487	10.2817	10.82
55076	9.1987	10.7211	12.382
55510	4.0659	1.4714	1.3448
11325	10.5555	10.7652	10.4702
9317	7.173	8.7154	9.5197
51202	9.8466	9.7029	9.7819
9879	9.849	9.5355	10.3493
5728	10.4078	11.3833	10.3123
6574	10.1251	9.686	9.2354
5360	10.1662	10.6545	7.8191
23300	9.4088	10.0137	9.1022
56648	4.9868	6.186	9.2168
120224	10.1975	9.2859	11.2976
728743	8.8358	6.8611	7.6662
1996	0.8379	1.8717	0
55366	9.6848	11.6064	11.831
59352	8.3286	5.9786	3.8554
NA	10.9637	12.0697	11.8518
1993	0	0	1.1077
1995	0	0	0
1028	8.5748	7.303	3.8933
1027	10.3901	10.5259	10.5744
1026	12.5815	10.9937	11.5967
7322	11.0046	10.1233	10.4236
10570	3.2722	1.4714	0.4699
84944	4.8751	0	3.5582
NA	8.1561	10.0838	10.5824
60558	8.444	9.2316	8.9067
692108	0	0	0
692107	0	0	0
NA	0	0	2.5861
NA	0	0	0
4242	8.7513	8.4414	7.4211
NA	9.3886	9.4264	10.4061
1909	6.9885	6.5005	7.0178
1910	8.7954	11.0284	8.4101
692109	0	0	0
606500	0	0	0
255275	0	0	0
NA	9.437	9.2081	8.862
27019	2.8677	2.8491	0
347	4.575	3.5408	2.0285
64446	0	0	0
338	15.9297	17.7691	16.8067
8677	9.5833	7.827	9.2409
79135	8.2031	8.2821	8.9421
55937	14.5925	13.3086	11.6058
4729	12.4608	12.4185	11.1532
350	17.5182	17.8899	16.745
167555	2.3036	3.5408	3.6932
NA	8.8506	8.8378	8.7138
338094	2.9771	10.8821	2.0911
NA	9.2344	8.7435	9.4817
NA	7.9693	7.4782	7.6441
4783	9.9129	9.0768	9.5533
2019	0	0	0.4699
130120	0	0	0
7388	12.0081	10.3915	10.8416
7423	10.8458	10.2079	10.115
5068	6.877	0	1.3448
152137	10.5993	10.9329	11.4951
79714	8.8966	8.2944	7.5255
NA	5.4436	7.2196	8.1437
NA	8.7774	9.3083	8.2424
84692	0	0	0
NA	7.9738	9.1119	9.2834
NA	12.6786	11.0804	10.7324
284001	9.9455	8.9246	7.7767
NA	9.0221	8.5443	8.397
29080	8.5599	8.2277	8.6067
167127	5.0222	4.9608	3.4607
94163	0	0	0
338398	0	2.1846	0
85013	7.4707	8.2234	7.8911
10243	8.6866	9.9046	9.1819
22976	7.1792	7.725	8.8979
140870	0	0	0
83637	10.6645	10.174	10.6291
57532	9.8354	10.7776	11.0443
56852	7.4961	6.8164	7.5012
26747	6.8278	7.2367	7.4225
644511	4.1322	2.4416	2.3881
9581	8.1921	9.7729	9.8512
645683	6.7025	2.6597	3.6046
25830	2.053	0.9157	0
164633	3.2932	3.1305	3.393
56344	0	0	0
57010	1.7494	4.1277	2.1157
51475	0	0.9157	0
9478	2.053	0.9157	0.8237
55030	6.9057	8.7485	8.2786
130888	5.6386	5.3538	5.3989
347734	10.5441	10.0636	11.4671
84085	6.7134	7.7985	8.3788
79791	10.9806	10.5457	9.3238
114907	5.5444	5.8951	5.8186
254170	7.9828	8.4991	6.9874
3046	6.8178	0.9157	0.8237
23264	10.1362	11.5891	12.9474
25927	7.4383	6.5559	5.6408
81545	9.0524	9.9139	9.8818
162517	2.053	1.8717	2.0285
4350	11.9721	10.3509	9.7545
200162	0	0	0
6303	12.8975	13.6866	11.8688
7083	11.2906	8.3424	11.2535
112483	12.4628	12.2375	10.6855
NA	5.6156	5.76	3.7355
27043	10.9291	10.0297	9.7147
NA	0	0.9157	0
129642	4.3145	4.2273	3.1834
154141	9.471	7.2619	9.2056
79143	10.1292	10.0779	10.0031
619373	2.053	0.9157	7.3562
90864	12.1929	10.5602	9.5044
84727	9.7588	6.6352	7.464
80176	9.3682	9.2274	9.6765
3094	14.479	12.71	13.5839
84681	12.2542	11.241	9.2709
135114	9.2593	10.0038	9.8448
642929	0	0	0
NA	8.2891	10.2868	8.1119
51561	3.7654	2.8491	2.1586
29104	7.3082	6.9256	7.0558
112401	0	0	0
997	11.8053	11.1533	10.8793
NA	0.8379	2.4416	1.1077
11140	12.0403	11.2832	11.4402
346528	0	1.4714	1.3448
211	12.6661	14.2848	11.9511
212	0	0.9157	1.3448
442361	0	0	0
393046	0	0	0
79541	2.053	4.5879	5.1401
11153	4.0659	5.5302	6.6374
10209	14.263	13.3006	13.7517
6276	1.3645	0	0
254065	4.1322	6.1684	7.0432
127068	0	0	0
54014	9.1254	10.1551	9.2519
6271	6.119	5.5302	5.2464
391195	0	0	0
6274	3.9964	1.4714	1.5484
9764	7.6225	7.1312	7.733
79836	5.5199	7.2867	8.5367
164832	5.5444	5.1883	6.6319
91694	5.7484	8.6721	7.824
2697	7.7227	7.7035	8.7619
3720	7.6567	7.893	8.827
64940	7.4513	6.7104	7.6607
329	9.7162	10.224	10.2392
NA	7.3082	6.5828	7.346
162998	3.9235	0	0.8237
2701	9.2648	8.7123	7.7537
55536	8.397	7.083	6.6284
2702	7.1004	5.8291	6.2272
22891	2.5171	0.9157	0.4699
100134868	1.3645	1.4714	2.1586
NA	0	0	0
284805	0	0	0
400831	0.8379	2.4416	2.3881
9546	9.1851	8.6014	9.3998
NA	1.3645	0.9157	0
28234	6.6125	13.298400000000001	7.4827
54466	2.8677	1.4714	0.4699
474343	6.6469	5.6624	6.6342
25796	11.967	10.1795	10.1575
7275	5.2482	4.7393	2.278
9152	0	0	0
10467	13.1121	12.3241	11.8878
81025	2.053	1.8717	1.1077
55333	8.8157	10.7074	9.3522
151651	2.5171	0.9157	0.4699
1300	6.6916	3.8377	2.5861
23515	7.1086	9.4096	8.9193
27136	0.8379	0	0
79710	8.4921	9.35	10.4216
NA	9.8453	10.1992	10.513
386593	8.775	6.9193	8.93
10020	10.8025	12.6611	10.9517
5803	0	1.4714	1.1077
387990	0	0.9157	0.8237
7380	3.3853	1.4714	0.4699
10907	11.4464	9.5112	9.3453
NA	8.8233	9.3103	9.1636
195828	7.7388	7.3971	8.4328
57722	4.6673	0	2.1586
791114	0	0	0
4208	8.5202	8.2446	7.9484
359821	0.8379	3.0524	2.5033
NA	4.0961	0	1.0145
1730	6.4003	8.0265	8.5823
NA	9.8795	9.6012	10.0171
8900	0	1.8717	0.8237
1780	3.1496	2.1846	2.0285
345630	3.0155	4.832	7.5073
79572	10.8396	12.4782	12.33
1781	8.0784	9.4039	10.0882
344905	0	0	0
84239	3.1496	4.1574	0
286140	8.4794	9.2253	8.5736
10743	7.634	7.4492	8.7283
10742	7.3436	6.6982	4.9193
348235	9.4005	8.6908	9.4586
340267	0	0.9157	0
7412	10.0141	9.766	9.2985
128218	5.8104	5.079	1.1077
84125	0	0	0
392862	2.8677	0	0.8237
NA	1.7494	0	2.9873
344657	1.3645	0.9157	1.1077
256355	4.0659	2.6597	2.4905
NA	4.3705	3.1665	2.8683
NA	5.927	7.5276	5.5006
NA	0	0	1.6421
NA	0	0.9157	0
NA	7.9372	8.253	7.2921
NA	8.6043	8.9481	8.5456
NA	9.7732	8.1487	8.9273
NA	0	2.1846	0.8237
27327	9.7403	10.106	9.8448
54680	6.7975	7.3271	7.5465
4209	10.3602	9.9231	10.8968
23536	5.3904	7.0074	6.7604
113179	7.7755	5.2899	5.7685
134637	6.6916	5.76	6.7135
3959	14.8045	14.0759	13.1656
767564	0	0	0
57061	0	0.9157	0
51351	6.5773	6.9871	7.7301
80301	9.9751	9.3887	8.653
51177	10.5972	9.383	8.1939
163071	0.8379	1.8717	1.5484
144455	4.3705	3.1665	6.9339
1876	8.36	7.3971	7.492
1875	4.4615	5.0465	7.7741
1874	9.3818	9.221	9.7034
1871	6.5891	7.9766	9.1857
1870	7.4052	2.6597	7.097
1869	11.1482	6.3828	10.9693
441273	0	0	0
100033438	0	0	0
58506	11.6479	10.5594	10.9637
221477	11.2252	11.1335	11.6335
NA	2.8677	0.9157	0.4699
79733	5.6612	2.6597	8.275
64746	8.9273	9.8612	10.1115
5531	12.1638	10.7971	10.957
414149	5.79	3.0165	5.0424
84320	9.731	8.2903	8.3954
91452	9.5042	11.4885	11.6288
79777	11.4464	11.5661	9.8466
23041	8.6838	10.0125	9.8509
10848	8.4308	7.4565	8.9043
1938	14.7054	15.5936	15.6752
677806	0	0	0
221150	6.2442	2.6597	8.0707
677807	0	0	0
677808	0	0	0
140707	6.6241	6.4131	5.9046
684959	0	0	0
NA	9.7377	9.4811	10.6468
NA	11.432	10.3109	10.0153
6017	0	0	0
6103	5.2482	7.0074	6.9831
10439	6.8077	6.872	4.4198
NA	10.5157	10.3742	11.1091
55713	3.9964	4.6402	2.8399
219844	7.5024	7.1672	6.8352
203562	1.7494	0	0.8237
NA	1.7494	0	0
284359	0	0	1.1077
201633	5.6156	6.7702	4.6803
79852	3.3853	3.1665	1.8855
26578	9.8329	10.0261	8.9398
7299	0	0	0
130074	10.3172	10.6835	11.4152
5831	8.5599	6.8277	9.3496
128439	9.5639	7.5953	8.0559
51046	3.0155	4.4189	2.1586
403274	0	0	0
117532	0.8379	0	0
403273	0	0	0
1486	8.6158	10.5207	8.9067
2624	4.9505	5.0407	3.8933
7480	2.7031	2.6597	1.1077
55422	7.9918	8.1843	6.4784
2790	8.8457	8.922	7.6856
2791	10.2646	9.1484	8.5186
55970	9.7496	10.8079	10.5435
51764	0	0	0
94121	9.5995	9.0311	7.0475
NA	0	0.9157	1.3448
56155	2.7031	2.6597	2.7602
343477	1.3645	3.6467	4.0013
9875	8.0992	8.9234000000000009	8.917
2623	0	1.4714	0
6176	15.9892	13.7732	14.4609
93034	1.2967	0	0.4699
10410	16.0986	14.7004	15.5306
10581	13.1024	12.277	13.0681
8519	13.6244	12.1603	11.4035
3241	10.2139	9.8236	9.9201
3991	6.1513	5.079	3.2433
51440	0	1.4714	0.4699
8513	0	0	0.4699
729408	0	0	0
26749	0	0	0
643414	0	0	0
142910	2.7031	2.4416	0.4699
340654	0	0	0
1676	8.798	8.6404	8.3771
1677	5.7055	5.8064	5.7685
2574	0	0	0
9871	8.2031	11.0772	11.0043
5955	8.2672	8.5062	8.9522
5980	7.1168	8.8764	8.7657
10802	8.5778	11.1278	11.2662
730130	0.8379	0	1.1077
9632	10.5868	11.4061	11.203
5478	12.819	11.7466	13.0666
56158	1.7494	0	0
127544	8.2223	8.3966	8.1179
22853	4.3705	7.4492	8.7387
114784	6.4137	1.8717	1.7268
NA	5.3352	2.4416	1.3448
NA	5.1234	2.4416	4.1651
NA	0	0	0
NA	0	0.9157	0.8237
114788	0	0	2.3881
221476	3.8466	4.9191	0
5450	5.9456	6.5145	4.8439
84545	11.3255	10.6224	10.0271
NA	4.8359	4.6402	4.4455
3652	5.3068	7.1493	6.6705
64478	2.053	1.8717	0
146378	1.948	0	0
NA	5.0905	2.4416	2.3881
646174	0.8379	0	0
NA	9.6083	7.1849	8.0712
116441	6.5533	5.5576	5.3177
116211	1.7494	2.1846	2.9873
740	10.2186	10.5233	10.8389
NA	6.183	4.832	4.7847
84061	10.44	11.8316	11.9782
374879	0	3.5408	2.0285
133060	0	0	0.4699
4803	5.4436	5.0407	3.4093
58157	0	0	0
4762	0	0	0
23137	8.9732	9.5269	8.8596
NA	11.1602	11.1703	11.4357
55657	9.6654	6.9974	9.0654
57116	5.0905	0.9157	0.8237
5453	2.8677	3.0165	0
90874	6.5533	8.1442	7.599
114827	4.8359	2.3493	1.5484
NA	10.7154	10.5067	10.6807
7052	11.7287	12.9059	13.12
NA	9.2519	9.2121	8.3677
84364	11.7765	11.3151	11.1661
26286	9.1595	10.3212	11.6728
NA	0.8379	0	2.1586
3912	10.4219	10.4702	10.1541
3914	7.8414	8.0795	8.9296
3913	12.5514	12.5271	10.8008
57105	0	3.5408	4.2257
22798	0	1.8717	0.8237
10800	2.053	4.9191	2.0285
22818	12.3382	11.3957	11.7317
NA	7.173	6.6223	5.5607
6787	6.3029	8.558	8.4312
51226	9.8527	9.1394	9.4047
NA	10.8697	9.3143	8.5034
4752	7.1808	6.2878	7.6744
4750	6.4269	7.6788	6.1973
7307	11.4387	10.3421	10.3692
338433	0	0	0
140809	10.0316	9.825	12.1737
284086	6.0349	6.0575	5.5249
10200	7.1572	7.7339	7.7172
NA	2.5171	1.8717	0.8237
122664	5.6835	6.3828	2.3881
27239	6.4401	7.2785	6.5213
660	3.6793	4.2273	0.4699
23432	5.7271	2.8491	3.6046
26791	0	0	0
100124516	0	0	0
7040	10.4603	9.5662	8.4376
50486	9.5413	9.931	11.3791
1725	11.564	10.0369	10.726
26009	8.1481	9.0238	8.8245
219965	0	0	0
NA	0	0	0
84251	3.8466	2.8491	2.8399
83643	10.0617	9.5199	7.7119
460	2.7031	1.8717	2.4905
221421	0.8379	2.4416	0.8237
8030	9.0545	9.3637	9.3299
79741	5.7484	5.0013	6.0117
90525	9.1395	9.6641	8.9239
6469	6.5773	6.9044	6.5213
1346	8.5264	4.7864	4.8821
1347	12.8163	11.2847	11.9293
26093	8.8604	8.3503	9.4427
79659	4.4244	4.3578	4.6803
7471	2.053	1.8717	0.4699
81853	10.5056	10.0861	10.0416
NA	11.4739	11.1606	11.5058
23269	8.0051	8.5749	8.6293
10797	6.6008	6.6093	5.6408
4522	11.874	14.3486	11.4821
NA	0	0	1.9744
23433	8.7595	9.0102	9.2695
122183	0	0	0
2937	10.4318	10.5837	10.8831
729240	0	0	0
729246	0	0	0
4256	11.5062	8.0314	7.6497
83861	5.3068	5.9987	6.4147
64324	9.2868	9.1003	10.7201
7043	8.1837	7.9613	8.1319
NA	9.5625	9.4407	11.4374
6007	3.0155	1.4714	0.4699
134492	9.6626	9.0721	8.9855
23386	10.869	10.4603	11.0688
84955	7.0669	7.628	9.2046
NA	9.2179	9.288	9.147
203069	10.2618	9.8404	10.0536
NA	0.8379	1.8717	2.0285
653166	0	0	0
122509	8.8081	7.2619	6.5512
83982	9.2481	6.3361	4.9555
126272	5.6835	3.9245	4.3121
51053	11.0562	8.5614	10.04
158	10.1741	9.4282	11.0359
55095	7.9464	9.2037	10.841
23659	9.4337	8.8096	8.6363
57412	11.1561	11.0826	11.9939
8492	0.8379	3.0165	1.8855
NA	9.9729	9.8474	10.0954
NA	8.6418	8.6275	8.1709
NA	6.5891	6.4575	7.9027
26648	0	0	0
10634	9.1949	8.5097	9.6799
51065	11.8957	10.9098	10.267
283431	0.8379	3.5408	6.4469
NA	0	0	0
116179	0	0	0
284346	6.5533	5.2229	4.6363
55362	10.5547	11.2473	11.1831
80762	12.3959	12.6446	12.3286
27306	5.4695	4.4189	1.3448
64343	8.8774	9.5024	9.0072
94122	5.9639	7.1583	4.3398
84905	7.2195	6.2878	7.1291
NA	9.9281	6.6352	8.601
NA	0	0	0
NA	10.6525	11.1877	12.0367
25850	3.5878	5.4447	5.1401
7475	2.7031	1.8717	0.4699
8740	3.1496	4.5338	5.6519
51754	9.0286	7.0272	8.6951
90199	0	0	0
220929	8.1915	7.7218	9.6056
391051	0	0	0
3747	0	2.4416	0
57645	9.4995	9.1574	10.678
339976	0	0	0
1833	0	0	0
7433	7.7807	10.1152	4.2551
83594	8.5985	9.9019	9.5399
28514	5.5199	7.1128	6.1275
170685	1.3645	4.5338	2.0285
10683	0	0	0
54567	6.6241	7.0754	8.6209
200035	1.7494	3.5408	5.3857
256281	9.4806	8.4706	5.4758
55270	7.9125	8.6673	9.2058
79873	7.8414	7.5482	6.5571
390916	7.9918	8.7031	8.9667
10867	11.481	11.8531	11.0706
390260	0	0	0
9482	8.6727	7.893	8.2497
4084	6.7025	7.582	7.764
3792	3.0155	3.6467	5.4633
2537	14.4287	12.7488	7.5043
5260	2.7031	2.4416	1.7268
65117	8.9978	10.0932	10.3022
284382	0	0	0
81569	0	0	1.1077
8417	8.8432	9.6338	9.5673
NA	9.704	9.3143	7.7563
NA	0	0	0
54542	5.8892	7.827	7.4513
NA	0	0	0
388165	0.8379	2.1846	3.6046
1370	11.5908	14.059	12.7269
1369	11.2403	11.1589	9.9791
6655	7.7858	9.1552	8.5866
NA	3.1496	0	0
83959	2.8677	2.1846	1.3448
54102	8.3874	5.7834	2.3881
5121	0.8379	0	0
23166	11.168	11.2597	9.5833
65979	9.6848	10.2047	9.81
54941	7.092	9.9271	5.8574
9778	9.689	9.7527	10.994
NA	8.334	8.8402	8.686
84900	6.4269	2.4416	4.9008
163175	6.4788	6.2878	4.5909
3078	14.7521	14.8755	13.184
81602	6.8378	8.5614	7.9574
9718	9.3509	8.4669	8.9953
1889	11.6842	12.0482	11.3968
203190	1.7494	2.1846	0.8237
50964	0	0	0
NA	5.2482	4.832	5.7376
26959	9.8827	11.211	11.0343
388242	4.7955	0.9157	1.8855
90246	2.5171	3.8377	2.0285
55364	7.9918	9.5746	8.2332
1819	9.6807	9.1507	9.5083
4733	10.8019	9.8871	11.2512
844	0.8379	1.4714	0
90678	9.6285	9.2338	8.4677
7755	10.0722	7.7517	8.466
143872	5.5685	8.0117	8.1593
339967	2.053	0	0
1192	12.7327	11.0551	13.0172
10528	10.9946	9.3402	10.8197
132884	6.7455	5.2229	3.1834
3433	8.5599	10.1404	7.9143
NA	0	0	0
NA	1.7494	0.9157	1.5484
NA	6.4531	5.0407	5.4758
6790	8.7058	6.4131	9.6759
9212	8.473	3.5408	9.0757
6795	4.4244	4.9191	2.1586
162	10.7808	11.5145	12.2936
647174	0	0	1.5484
6619	6.877	8.6436	7.9348
7138	0	0.9157	1.1077
79295	0	0	0
26341	0	0	0
63891	9.9223	10.4511	9.9344
84572	12.0295	11.3654	10.6544
10602	7.2571	7.4638	5.8859
10435	8.4341	8.4885	6.5747
11135	12.372	11.2378	13.0666
644168	0	0	0
167838	4.2563	4.5338	2.0285
148170	7.8853	4.9191	4.6803
23580	11.3475	10.5871	11.0511
NA	2.7031	1.4714	0
90427	8.3108	8.0936	8.8833
NA	6.1672	3.5408	1.8855
NA	0	0	1.1077
222545	0	0	0
30832	1.3645	3.9245	0.8237
9755	7.7388	6.3828	7.6189
9609	5.5923	4.9608	2.8399
191	12.5344	12.6127	13.289
170370	0	0	0
340069	0.8379	0	0
NA	0	0	0
10152	8.5808	8.2944	9.0519
51225	8.9366	8.3698	6.8689
10006	8.9732	9.5655	10.9494
10131	12.8487	11.9005	12.2534
6583	3.4901	4.3345	2.7602
54997	9.7562	6.3674	8.3704
4589	0	0	0
NA	0	0.9157	0
4820	8.1719	9.0697	9.3547
399	6.5165	7.0173	4.5677
23440	0	0	0.4699
374308	0	0	0
4908	3.9964	7.1761	2.6758
6672	10.2243	10.9466	10.4682
NA	2.5171	1.4714	2.0285
390792	3.5878	1.4714	0
8687	0	0	0.4699
37	13.7732	14.0072	13.617
53916	9.9128	8.7093	9.2934
390327	0	0	0
58486	9.1675	7.9354	8.5895
5867	10.602	10.315	9.7341
3881	1.7494	0	0
8403	0	0	0
3882	0	0	0
3886	0	0	0
79947	9.2722	9.238	8.9623
8688	0	0	0
8689	2.7031	1.4714	1.7268
59067	0	0.9157	0
1124	8.9435	10.6264	10.0384
1123	5.3352	5.415	4.4455
50616	0	0	0
64806	0	0	0
11009	2.485	2.7481	0.5479
246778	7.4898	7.4492	5.6183
55801	0	0	0
NA	2.053	0.9157	0.4699
5911	8.6616	9.2818	9.7344
55370	4.6219	3.6467	2.9873
858	9.3139	10.174	10.7306
859	0	0	0.4699
558	9.1395	9.8151	7.1171
857	9.2741	9.5217	8.3484
147694	5.9639	7.2867	6.6868
692226	0	0	0
7076	15.0675	11.9962	12.5357
3594	4.9868	6.2878	4.0013
3939	13.1527	13.8652	14.2531
3595	2.7031	4.6402	1.8855
537	11.612	11.2415	12.2823
10159	11.009	11.389	11.8165
84337	10.8315	10.1506	9.6718
2029	13.19	11.4943	11.6677
9685	9.9797	11.7537	11.4085
5082	7.2346	7.4046	7.3864
26785	0	0	0
NA	4.7955	5.618	4.1021
79971	8.3461	9.1027	9.8241
